Codigo,Marca,Modelo,Categoria,Talla (MX),Precio (MXN),Existencia (pares)
Z001,Nike,Air Max SC,Tenis,23,1799,3
Z002,Nike,Revolution 7,Tenis,24,1499,5
Z003,Nike,Court Vision,Casual,25,1699,2
Z004,Adidas,Runfalcon 5,Tenis,23.5,1399,4
Z005,Adidas,Grand Court 2.0,Casual,24.5,1599,3
Z006,Adidas,Duramo SL,Tenis,26,1499,6
Z007,Puma,Carina Street,Casual,23,1299,2
Z008,Puma,Softride Enzo,Tenis,25,1399,4
Z009,Puma,Caven 2.0,Casual,26,1499,3
Z010,Converse,Chuck Taylor Low,Casual,23.5,1399,5
Z011,Converse,Chuck Taylor High,Casual,25,1499,2
Z012,Vans,Old Skool,Casual,24,1599,4
Z013,Vans,Ward,Casual,26,1399,3
Z014,Skechers,Summits,Tenis,23,1299,5
Z015,Skechers,Go Walk,Tenis,24.5,1599,4
Z016,New Balance,Fresh Foam Arishi,Tenis,25,1899,2
Z017,New Balance,574,Casual,26,2199,3
Z018,Reebok,Royal Complete,Casual,24,1299,4
Z019,Reebok,Energen Lux,Tenis,25.5,1499,2
Z020,Flexi,Casual 407401,Zapato,24,1199,5
Z021,Flexi,Confort 403703,Zapato,26,1299,3
Z022,Andrea,Tac�n Cl�sico,Tac�n,23,999,2
Z023,Andrea,Bota Casual,Bota,24,1399,3
Z024,Capa de Ozono,Bot�n Casual,Bota,23.5,1199,4
Z025,Panam,084 Cl�sico,Tenis,25,899,6
